date,우산,우비,크록스,써큘레이터,에어컨,선풍기,닭가슴살,방향제,텀블러,보조배터리,사과,탄산수,텐트,자전거,무선청소기,에어프라이어,모기퇴치제,캡슐세제,매트리스,전신거울,칫솔,청바지,우산꽃이,신발건조기,우산비닐,물받이,옷걸이,장갑,모기장,원피스,담요,라면,스마트폰,핸드폰케이스,그립톡,요가매트,샴푸,덤벨
2023-03-01,6.83128,8.95876,39.03142,4.78168,24.40186,2.33897,75.7773,58.10368,83.98627,55.24385,62.68128,89.3353,53.93998,61.60223,70.22647,76.39046,13.18051,69.32752,85.84757,100,70.62146,87.52511,11.53846,63.69092,3.07692,40.79999,74.14837,80.85106,6.63247,61.55752,75.67415,80.69029,100,98.36648,48.64735,68.95009,78.86456,83.27464
2023-03-02,5.93338,7.11954,31.51751,4.38394,21.24287,2.22071,76.39428,51.23773,70.80566,60.74759,60.50017,70.2511,58.99322,46.20748,65.83365,68.02118,15.47277,60.47411,71.86375,80.7641,62.90018,59.28083,14.20118,65.71642,4.80769,49.2,62.58516,93.33333,7.16307,52.88022,71.40449,65.20522,77.01736,74.26815,39.01156,71.93973,73.9398,77.64084
2023-03-03,4.85955,8.20231,28.22541,4.89658,18.96944,2.16596,64.78818,47.31433,57.40371,56.24065,58.19344,66.41063,45.94385,40.05578,60.76727,64.6992,15.18624,46.34736,57.30665,61.06175,47.80288,57.47288,12.13017,49.43735,6.92307,54.4,55.77214,85.67375,6.50866,53.31944,58.48314,63.6194,76.09805,69.10884,37.44383,62.92372,59.61012,74.64788
2023-03-04,4.80495,7.69801,30.86468,5.30316,23.89435,2.01046,52.77399,49.27603,52.86631,50.55179,58.34189,83.10192,58.18005,54.01719,65.60913,66.7726,11.74785,49.0566,68.22167,79.498,47.48901,83.76858,5.32544,60.31507,3.07692,34.79999,58.55412,69.3617,7.5168,62.3008,55.95505,83.30223,87.43615,85.68655,46.72593,64.78342,58.70383,73.3568
2023-03-05,6.26706,9.22574,36.03779,5.44458,26.09528,2.75508,66.91119,54.08687,65.02877,56.34745,61.16249,91.49187,75.21781,63.94979,72.54002,78.32765,14.32664,56.31349,78.29361,92.80319,48.08537,92.58738,9.76331,50.18754,1.92307,40.79999,70.60938,72.05673,8.54262,74.41297,61.34831,100,86.10827,90.13423,52.71006,71.32768,68.39945,80.39906
2023-03-06,6.6796,9.50756,35.62882,5.24129,28.16675,3.00256,94.34998,55.34796,66.722,61.46671,70.94895,83.98818,59.16747,52.04927,65.79461,70.23836,17.04871,53.41074,73.6848,81.65259,54.99058,78.12374,9.46745,57.83945,7.11538,59.2,60.9576,89.21985,9.81605,67.10963,60.39325,82.71144,78.54954,75.65906,46.84064,66.52542,80.07865,83.09859
2023-03-07,7.30449,10.08602,48.26377,5.75393,29.6841,3.89391,100,57.82344,67.1868,60.44855,74.83156,76.04135,53.92061,50.9181,65.80437,72.50851,17.04871,49.00822,68.50269,66.17059,49.2467,76.89835,11.53846,60.84021,5.38461,58.8,59.53822,78.86524,9.69225,67.52632,52.02247,73.2898,73.0337,77.71308,41.05726,66.97269,81.46374,88.55633
2023-03-08,17.15707,13.77929,47.06607,6.02792,28.94355,5.73574,93.13544,59.92526,64.7521,63.65966,77.06977,69.3353,50.10648,49.04315,71.97383,69.01248,17.62177,46.92791,66.62544,66.97023,49.30947,82.44274,14.79289,45.98649,8.46153,62,57.75927,83.82978,10.59426,70.51635,55.16853,75.96393,71.19509,72.63464,47.66274,65.79566,71.13543,86.20892
2023-03-09,15.9801,14.41708,41.01531,6.09863,24.90419,6.44094,75.68013,54.74077,59.25188,58.2556,75.42537,65.73116,51.24878,46.38568,53.73877,57.26068,16.47564,44.94436,63.70278,58.55175,45.66854,82.06106,17.75147,61.59039,12.88461,58,59.19757,83.54609,10.48814,62.27828,47.80898,67.44402,81.10316,69.497,47.29949,61.44067,53.93296,81.27934
2023-03-10,7.41369,10.05636,39.4569,6.26657,26.19886,7.56225,57.71472,50.02335,51.48295,53.55642,50.73655,56.0709,48.09293,50.73216,41.34127,47.48391,18.19484,37.01015,45.14388,50.24433,40.48964,65.86982,9.46745,38.0345,8.26923,52.4,51.00302,79.00709,9.58613,59.98648,39.4382,62.15796,70.68437,64.53178,33.49584,55.97928,39.14158,79.46009
2023-03-11,7.5593,9.12192,51.70955,6.47869,29.30605,8.54558,47.57578,44.13825,48.70517,45.51085,45.89471,59.82274,60.60019,67.35104,42.93244,45.33484,14.04011,36.62312,49.16816,54.06486,36.78593,83.44716,11.83431,40.88522,3.65384,41.6,48.86449,57.87234,11.53165,69.20997,37.41573,63.77487,74.05515,74.60779,34.8437,47.1516,36.987,68.60328
2023-03-12,25.39586,27.52892,56.00502,10.65052,25.45313,8.48864,72.13855,63.24147,73.89331,66.29405,81.79741,77.93205,85.53727,56.28728,60.77704,82.61066,13.18051,66.47314,84.72347,69.7912,61.80163,100,30.47337,71.19279,28.26923,47.6,86.4118,64.11347,12.30986,100,66.23595,83.5199,70.68437,91.05612,44.82363,68.5499,68.74145,94.95305
